# gaia_id               ra                   dec                   distance             g_PS1                r_PS1                i_PS1                B_mag                V_mag                R_mag                I_mag      
  5751819107588432640   128.44484328621573   -9.998162694283023    581.3849945950367    8.481295998977693    6.785230632249356    5.891749498412907    9.58919994165835     7.503184587132567    6.2961349783020335   5.180234540038645   
  3587607730202359424   177.56271991218375   -9.997005257606439    956.5071310215977    9.711321618189494    8.165503874038977    7.383405459930252    10.806455164676485   8.872765280884225    7.7581091707052625   6.7389829029691     
  6896426173984586240   315.64674118571185   -9.995564507798973    307.82425705647813   7.629790093841076    5.727894728020772    4.694934090530937    8.790728516754696    6.486269470140702    5.144980268290081    3.905061434632483   
  3623683874939080960   199.80360919842275   -9.973479369918081    1295.3985848417892   10.157718785548202   8.782460825425566    8.12230799599405     11.06739296586874    9.349332843020456    8.363729804017334    7.477490537807948   
  3047927737798430848   108.5646417795845    -9.94752195286846     633.1524963649315    6.514139060990884    5.4647551497810465   5.03296249717153     7.158281656190736    5.827509949169007    5.068458257554692    4.420491838152515   
  3038544746082564992   121.35499652076736   -9.927588140436837    825.1490078672444    8.746838089276588    7.451272237120688    6.852502348660279    9.637897312502767    8.003123439837946    7.066813613707822    6.236729558588004   
  3192081443134384640   64.0629181836091     -9.891761446456368    2207.9397816446726   11.06452645820226    9.71224926059329     9.075043894875616    11.795379773630081   10.145152829240327   9.19972055471055     8.362211375029625   
  3758239462246368512   163.08342429897198   -9.88308132107186     1193.9221587596696   9.842620445802288    8.662367376840054    8.145600247491181    10.733656447537202   9.212388175801815    8.342754189835897    7.583150264579817   
  3047229479198291840   109.80750268110872   -9.847075228689292    1324.9159596906175   10.921835798720656   9.310336525090836    8.478759483714635    11.862934376149353   9.903247043870664    8.772893489523508    7.735430684434945   
  2473813858697299200   13.052976692094187   -9.832390828158813    571.7494675908581    8.230822229787949    7.022626343162243    6.490933020427633    9.074178016049688    7.537440101575611    6.658753221361632    5.894531987162847   
  3039122814319632896   119.26505309847192   -9.792248915955174    2151.513714180429    10.429905673389586   9.661671979116552    9.367900698483849    11.007800389183096   9.968247374866497    9.374987104218759    8.85032086631082    
  3041234117166096640   115.01075573512755   -9.782273321884027    1673.8076541642972   11.15266380168227    9.580639605067729    8.782927106658224    12.166391669166758   10.22739305467847    9.109533893605516    8.09032403115936    
  2471142801355392256   20.071686462443257   -9.74760754248781     954.7383225484145    10.135048600193631   8.345976494407775    7.318398626397125    11.351529421575522   9.145339865125814    7.864691787083787    6.60849197311696    
  5751656620385613440   126.45427866764685   -9.73278195625086     1369.759901717437    9.785315145462466    8.446662301607024    7.817912770500258    10.630341693186333   8.964720339685757    8.010189584298987    7.161762544160737   
  5750285460665873152   130.113020405104     -9.709013909652267    1228.6409783130603   10.445168628319689   8.876824956621782    8.081142704030022    11.497597941420711   9.55242407198454     8.430837488659465    7.407229263552485   
  6903251976530514304   309.6850394252901    -9.683415328634924    632.986757764667     10.342215485798016   8.164468541246674    6.3804485141162814   11.66894897358168    9.04605653308618     7.5054814938564265   5.522627040538124   
  3041241229631801600   115.16960767600476   -9.676265018265749    1373.7367328406851   10.250129411142863   9.013452403774973    8.458334629490881    10.907043325078394   9.389252977344242    8.5216527883156      7.766340868544986   
  6904908184640455552   307.75953789507287   -9.655601703469424    1127.6255779534454   9.614853564580446    8.365676617313216    7.814140267284652    10.246988420167476   8.723147656326336    7.852008991929214    7.105435055674564   
  2425926691334255744   10.505172144549656   -9.647814037782513    632.0822336376352    9.783594829356765    7.661715740240698    6.160802043893584    11.270360190462297   8.662395199890323    7.131256132306202    5.400266005113632   
  3038944349837326592   119.51792309476545   -9.635612640300224    1099.0188980032578   9.500487694733593    8.166489045393332    7.54207712475691     10.399898113051558   8.725132530703954    7.765192275381346    6.912064463859415   
  3038472620690471168   122.62735037208918   -9.604761229106158    813.1659379346788    8.678321067844506    6.792551170265051    5.683447575353776    9.786961157870662    7.511941589088919    6.188862158330348    4.878947299249198   
  2462565957823482752   30.19731278502814    -9.598831855318464    1569.7990232746988   9.955041332378492    8.89079683538847     8.440313974612339    10.772766261224032   9.383853027353576    8.591227247666486    7.898305437598338   
  3047448282008588928   111.95441295531636   -9.577996331366116    645.5214824779015    10.451349394017733   8.275290476144594    6.664532632159734    11.803513962843711   9.175780739611008    7.6321437704844595   5.8184844856443885  
  5752450673939686400   125.65086160155934   -9.507623259689163    887.1526891507247    9.278642412073964    8.06525678021867     7.516557675738653    10.14232807799423    8.595364175156886    7.710687041687589    6.9267568721174     
  3038477916387248512   122.50354234546516   -9.502979819216845    1058.0947915612574   10.755296004024817   8.85152499646556     7.713151617851691    11.868084636613068   9.574055035315826    8.239221152845994    6.901504537136616   
  5752794511841417088   126.75811048159869   -9.407872596573782    1088.4738920045024   9.613649129861981    8.196783828793173    7.510726315296248    10.542117391155445   8.778225968083087    7.7653653643740235   6.854595385057351   
  6903274894476026368   309.8016868016255    -9.386221791044274    725.9476712743791    10.660787661735698   8.477059952105986    6.5219451896347795   11.933625475461122   9.318580016824853    7.78296636929579     5.637937745163083   
  3617164217662936320   207.78052860543886   -9.33470230080878     1499.615148978208    10.506533021265074   9.157379690623403    8.517848321508689    11.514143552272948   9.797092021240202    8.812087776554808    7.928380559017534   
  3183328368503846912   73.55657630930774    -9.330292216333264    1262.2181908921648   9.95398700519374     8.63974032364633     8.029685200442847    10.816084155379333   9.170210987983765    8.227349974673453    7.392441971852676   
